radius,n,mean_predicted_probability,empirical_event_frequency,mean_bias,ece_equal_width,ece_equal_count,max_cumulative_deviation,cumulative_range,number_of_non_empty_bins,number_of_non_empty_bins_equal_count
50,1000,0.22109375,0.38,0.15890625,0.15984374999999998,0.15915625,0.1600625000000001,0.1590625000000001,8,9
100,1000,0.466125,0.596,0.129875,0.130125,0.1319375,0.12987499999999924,0.13115624999999925,10,10
200,1000,0.75134375,0.796,0.04465625,0.05053125000000002,0.05309374999999999,0.0490312499999995,0.0505937499999995,10,10
400,1000,0.89765625,0.899,0.00134375,0.020906250000000043,0.016906249999999977,0.01112500000000003,0.01331250000000003,10,6
800,1000,0.9538125,0.958,0.0041875,0.011062499999999977,0.017499999999999953,0.011468750000000014,0.012062500000000014,9,4
