rank,p_sorted,y_sorted,cumulative
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,1.0,0.001
3,0.0,0.0,0.001
4,0.0,0.0,0.001
5,0.0,0.0,0.001
6,0.0,0.0,0.001
7,0.0,0.0,0.001
8,0.0,0.0,0.001
9,0.0,0.0,0.001
10,0.0,0.0,0.001
11,0.0,0.0,0.001
12,0.0,0.0,0.001
13,0.0,0.0,0.001
14,0.0,0.0,0.001
15,0.0,0.0,0.001
16,0.0,0.0,0.001
17,0.0,0.0,0.001
18,0.0,0.0,0.001
19,0.0,0.0,0.001
20,0.0,0.0,0.001
21,0.0,0.0,0.001
22,0.0,0.0,0.001
23,0.0,0.0,0.001
24,0.0,0.0,0.001
25,0.0,0.0,0.001
26,0.0,0.0,0.001
27,0.0,0.0,0.001
28,0.0,0.0,0.001
29,0.0,0.0,0.001
30,0.0,0.0,0.001
31,0.0,0.0,0.001
32,0.0,0.0,0.001
33,0.0,0.0,0.001
34,0.0,0.0,0.001
35,0.0,0.0,0.001
36,0.0,0.0,0.001
37,0.0,0.0,0.001
38,0.0,0.0,0.001
39,0.0,0.0,0.001
40,0.0,0.0,0.001
41,0.0,0.0,0.001
42,0.0,0.0,0.001
43,0.0,0.0,0.001
44,0.0,0.0,0.001
45,0.0,0.0,0.001
46,0.0,0.0,0.001
47,0.0,0.0,0.001
48,0.0,0.0,0.001
49,0.0,0.0,0.001
50,0.0,0.0,0.001
51,0.0,0.0,0.001
52,0.0,0.0,0.001
53,0.0,0.0,0.001
54,0.0,0.0,0.001
55,0.0,0.0,0.001
56,0.0,0.0,0.001
57,0.0,0.0,0.001
58,0.0,0.0,0.001
59,0.0,0.0,0.001
60,0.0,0.0,0.001
61,0.0,0.0,0.001
62,0.0,0.0,0.001
63,0.0,0.0,0.001
64,0.0,0.0,0.001
65,0.0,0.0,0.001
66,0.0,0.0,0.001
67,0.0,0.0,0.001
68,0.03125,0.0,0.00096875
69,0.03125,0.0,0.0009375
70,0.03125,0.0,0.0009062499999999999
71,0.03125,0.0,0.0008749999999999999
72,0.03125,0.0,0.0008437499999999999
73,0.03125,0.0,0.0008124999999999999
74,0.03125,0.0,0.0007812499999999998
75,0.03125,0.0,0.0007499999999999998
76,0.03125,0.0,0.0007187499999999998
77,0.03125,0.0,0.0006874999999999997
78,0.03125,0.0,0.0006562499999999997
79,0.03125,0.0,0.0006249999999999997
80,0.03125,0.0,0.0005937499999999997
81,0.03125,0.0,0.0005624999999999996
82,0.03125,0.0,0.0005312499999999996
83,0.03125,0.0,0.0004999999999999996
84,0.03125,0.0,0.00046874999999999955
85,0.03125,0.0,0.0004374999999999995
86,0.03125,0.0,0.0004062499999999995
87,0.03125,0.0,0.00037499999999999947
88,0.03125,0.0,0.00034374999999999944
89,0.03125,0.0,0.0003124999999999994
90,0.03125,0.0,0.0002812499999999994
91,0.03125,0.0,0.00024999999999999935
92,0.03125,0.0,0.00021874999999999935
93,0.03125,0.0,0.00018749999999999935
94,0.03125,0.0,0.00015624999999999935
95,0.03125,0.0,0.00012499999999999935
96,0.03125,0.0,9.374999999999935e-05
97,0.03125,0.0,6.249999999999935e-05
98,0.03125,0.0,3.124999999999935e-05
99,0.03125,0.0,-6.505213034913027e-19
100,0.03125,0.0,-3.125000000000065e-05
101,0.03125,0.0,-6.250000000000065e-05
102,0.03125,0.0,-9.375000000000065e-05
103,0.03125,0.0,-0.00012500000000000065
104,0.0625,1.0,0.0008124999999999993
105,0.0625,0.0,0.0007499999999999994
106,0.0625,0.0,0.0006874999999999993
107,0.0625,0.0,0.0006249999999999993
108,0.0625,0.0,0.0005624999999999992
109,0.0625,0.0,0.0004999999999999991
110,0.0625,0.0,0.00043749999999999914
111,0.0625,0.0,0.00037499999999999914
112,0.0625,0.0,0.00031249999999999914
113,0.0625,0.0,0.00024999999999999914
114,0.0625,0.0,0.00018749999999999914
115,0.0625,0.0,0.00012499999999999914
116,0.0625,0.0,6.249999999999913e-05
117,0.0625,0.0,-8.673617379884035e-19
118,0.0625,0.0,-6.250000000000087e-05
119,0.0625,0.0,-0.00012500000000000087
120,0.0625,0.0,-0.00018750000000000087
121,0.0625,0.0,-0.00025000000000000087
122,0.0625,0.0,-0.0003125000000000009
123,0.0625,0.0,-0.0003750000000000009
124,0.0625,0.0,-0.0004375000000000009
125,0.09375,0.0,-0.0005312500000000009
126,0.09375,0.0,-0.0006250000000000009
127,0.09375,0.0,-0.0007187500000000009
128,0.09375,0.0,-0.0008125000000000008
129,0.09375,0.0,-0.0009062500000000008
130,0.09375,1.0,-7.589415207398531e-19
131,0.09375,1.0,0.0009062499999999993
132,0.09375,0.0,0.0008124999999999993
133,0.09375,0.0,0.0007187499999999993
134,0.09375,0.0,0.0006249999999999994
135,0.09375,0.0,0.0005312499999999994
136,0.09375,0.0,0.0004374999999999994
137,0.09375,0.0,0.00034374999999999944
138,0.09375,0.0,0.00024999999999999946
139,0.09375,0.0,0.00015624999999999946
140,0.09375,0.0,6.249999999999946e-05
141,0.09375,0.0,-3.125000000000054e-05
142,0.09375,0.0,-0.00012500000000000054
143,0.125,0.0,-0.00025000000000000055
144,0.125,0.0,-0.00037500000000000055
145,0.125,0.0,-0.0005000000000000006
146,0.125,0.0,-0.0006250000000000006
147,0.125,1.0,0.00024999999999999946
148,0.125,0.0,0.00012499999999999946
149,0.125,0.0,-5.421010862427522e-19
150,0.125,0.0,-0.00012500000000000054
151,0.125,0.0,-0.00025000000000000055
152,0.125,0.0,-0.00037500000000000055
153,0.125,0.0,-0.0005000000000000006
154,0.15625,0.0,-0.0006562500000000006
155,0.15625,0.0,-0.0008125000000000006
156,0.15625,0.0,-0.0009687500000000006
157,0.15625,0.0,-0.0011250000000000006
158,0.15625,0.0,-0.0012812500000000005
