bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.1,11,0.05965909090909091,0.09090909090909091,0.03125
1,0.1,0.2,7,0.15625,0.2857142857142857,0.1294642857142857
2,0.2,0.30000000000000004,13,0.25,0.3076923076923077,0.05769230769230771
3,0.30000000000000004,0.4,11,0.3465909090909091,0.45454545454545453,0.10795454545454541
4,0.4,0.5,15,0.4375,0.13333333333333333,0.3041666666666667
5,0.5,0.6000000000000001,14,0.5580357142857143,0.5,0.0580357142857143
6,0.6000000000000001,0.7000000000000001,11,0.65625,0.9090909090909091,0.25284090909090906
7,0.7000000000000001,0.8,32,0.7578125,0.875,0.1171875
8,0.8,0.9,102,0.8489583333333334,0.8627450980392157,0.01378676470588236
9,0.9,1.0,784,0.9648038903061225,0.9591836734693877,0.005620216836734748
