bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.1,306,0.022365196078431373,0.05228758169934641,0.029922385620915034
1,0.1,0.2,146,0.1622431506849315,0.2534246575342466,0.09118150684931509
2,0.2,0.30000000000000004,197,0.25158629441624364,0.5228426395939086,0.271256345177665
3,0.30000000000000004,0.4,186,0.34089381720430106,0.5591397849462365,0.21824596774193544
4,0.4,0.5,115,0.43233695652173915,0.6956521739130435,0.2633152173913043
5,0.5,0.6000000000000001,40,0.53046875,0.8,0.26953125
6,0.6000000000000001,0.7000000000000001,8,0.6484375,0.875,0.2265625
7,0.7000000000000001,0.8,2,0.734375,0.5,0.234375
8,0.8,0.9,0,,,
9,0.9,1.0,0,,,
