metric,value,std,n
energy_score_whole_path_mean,254.73992623901367,482.63264527161533,1000
crps_position_mean,27.074014679431915,52.008815832810235,1000
ade_mean_m,76.91103945541381,136.32450447059162,1000
fde_mean_m,179.1538383746147,318.0981737225113,1000
final_spread_mean_m,211.79454709625244,186.3260366979037,1000
