bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.03125,182,0.0,0.02197802197802198,0.02197802197802198
1,0.03125,0.09375,95,0.04342105263157895,0.042105263157894736,0.0013157894736842146
2,0.09375,0.1875,109,0.12872706422018348,0.24770642201834864,0.11897935779816515
3,0.1875,0.21875,66,0.1875,0.2727272727272727,0.08522727272727271
4,0.21875,0.28125,126,0.23487103174603174,0.5,0.26512896825396826
5,0.28125,0.3125,71,0.28125,0.5633802816901409,0.28213028169014087
6,0.3125,0.375,135,0.3280092592592593,0.562962962962963,0.23495370370370372
7,0.375,0.4375,97,0.389819587628866,0.6288659793814433,0.2390463917525773
8,0.4375,1.0,119,0.4950105042016807,0.7310924369747899,0.23608193277310918
