bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.1,54,0.041087962962962965,0.07407407407407407,0.032986111111111105
1,0.1,0.2,23,0.15896739130434784,0.13043478260869565,0.02853260869565219
2,0.2,0.30000000000000004,17,0.25,0.17647058823529413,0.07352941176470587
3,0.30000000000000004,0.4,17,0.3547794117647059,0.29411764705882354,0.06066176470588236
4,0.4,0.5,19,0.4375,0.5263157894736842,0.08881578947368418
5,0.5,0.6000000000000001,54,0.5532407407407407,0.6481481481481481,0.09490740740740744
6,0.6000000000000001,0.7000000000000001,82,0.6634908536585366,0.7804878048780488,0.11699695121951226
7,0.7000000000000001,0.8,129,0.7541182170542635,0.8062015503875969,0.05208333333333337
8,0.8,0.9,267,0.84562265917603,0.9138576779026217,0.06823501872659177
9,0.9,1.0,338,0.9453587278106509,0.9585798816568047,0.013221153846153855
