bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.1,143,0.028846153846153848,0.027972027972027972,0.0008741258741258758
1,0.1,0.2,43,0.16061046511627908,0.16279069767441862,0.0021802325581395388
2,0.2,0.30000000000000004,57,0.24945175438596492,0.3508771929824561,0.1014254385964912
3,0.30000000000000004,0.4,81,0.35223765432098764,0.4691358024691358,0.11689814814814814
4,0.4,0.5,124,0.4430443548387097,0.5483870967741935,0.10534274193548382
5,0.5,0.6000000000000001,228,0.5520833333333334,0.7763157894736842,0.2242324561403508
6,0.6000000000000001,0.7000000000000001,170,0.6516544117647058,0.8823529411764706,0.23069852941176472
7,0.7000000000000001,0.8,96,0.7467447916666666,0.84375,0.09700520833333337
8,0.8,0.9,51,0.8363970588235294,0.8627450980392157,0.026348039215686292
9,0.9,1.0,7,0.9151785714285714,1.0,0.0848214285714286
