rank,p_sorted,y_sorted,cumulative
0,0.0,0.0,0.0
1,0.03125,0.0,-3.125e-05
2,0.03125,0.0,-6.25e-05
3,0.03125,0.0,-9.375e-05
4,0.0625,0.0,-0.00015625
5,0.0625,0.0,-0.00021875
6,0.0625,0.0,-0.00028125000000000003
7,0.09375,0.0,-0.000375
8,0.09375,1.0,0.00053125
9,0.09375,0.0,0.00043750000000000006
10,0.09375,0.0,0.0003437500000000001
11,0.125,0.0,0.00021875000000000009
12,0.125,0.0,9.375000000000008e-05
13,0.15625,1.0,0.0009375000000000001
14,0.15625,0.0,0.00078125
15,0.15625,0.0,0.000625
16,0.1875,0.0,0.0004375
17,0.1875,1.0,0.00125
18,0.21875,0.0,0.00103125
19,0.21875,1.0,0.0018125
20,0.21875,0.0,0.0015937500000000001
21,0.21875,0.0,0.0013750000000000001
22,0.21875,0.0,0.0011562500000000002
23,0.21875,0.0,0.0009375000000000002
24,0.25,0.0,0.0006875000000000002
25,0.28125,0.0,0.0004062500000000002
26,0.28125,0.0,0.00012500000000000022
27,0.28125,1.0,0.0008437500000000002
28,0.28125,1.0,0.0015625
29,0.28125,0.0,0.00128125
30,0.28125,1.0,0.002
31,0.3125,1.0,0.0026875
32,0.3125,0.0,0.002375
33,0.3125,0.0,0.0020625
34,0.34375,0.0,0.0017187500000000002
35,0.34375,0.0,0.0013750000000000004
36,0.34375,1.0,0.0020312500000000005
37,0.34375,0.0,0.0016875000000000006
38,0.375,1.0,0.0023125000000000008
39,0.375,0.0,0.0019375000000000009
40,0.375,1.0,0.002562500000000001
41,0.375,1.0,0.003187500000000001
42,0.40625,0.0,0.002781250000000001
43,0.40625,0.0,0.0023750000000000012
44,0.40625,0.0,0.0019687500000000013
45,0.40625,0.0,0.0015625000000000014
46,0.40625,0.0,0.0011562500000000015
47,0.4375,0.0,0.0007187500000000015
48,0.4375,0.0,0.0002812500000000015
49,0.4375,1.0,0.0008437500000000014
50,0.4375,0.0,0.0004062500000000014
51,0.4375,0.0,-3.124999999999862e-05
52,0.46875,0.0,-0.0004999999999999986
53,0.46875,0.0,-0.0009687499999999986
54,0.46875,1.0,-0.00043749999999999855
55,0.46875,0.0,-0.0009062499999999985
56,0.46875,0.0,-0.0013749999999999986
57,0.5,1.0,-0.0008749999999999986
58,0.5,1.0,-0.0003749999999999986
59,0.5,0.0,-0.0008749999999999986
60,0.53125,1.0,-0.0004062499999999986
61,0.53125,1.0,6.250000000000136e-05
62,0.5625,1.0,0.0005000000000000013
63,0.5625,1.0,0.0009375000000000013
64,0.5625,0.0,0.0003750000000000013
65,0.59375,0.0,-0.00021874999999999868
66,0.59375,0.0,-0.0008124999999999987
67,0.59375,1.0,-0.0004062499999999987
68,0.59375,0.0,-0.0009999999999999987
69,0.59375,0.0,-0.0015937499999999988
70,0.59375,0.0,-0.002187499999999999
71,0.625,1.0,-0.001812499999999999
72,0.625,1.0,-0.001437499999999999
73,0.65625,1.0,-0.0010937499999999992
74,0.65625,1.0,-0.0007499999999999993
75,0.65625,1.0,-0.0004062499999999993
76,0.65625,1.0,-6.24999999999993e-05
77,0.65625,1.0,0.0002812500000000007
78,0.65625,1.0,0.0006250000000000007
79,0.65625,0.0,-3.124999999999938e-05
80,0.6875,1.0,0.00028125000000000063
81,0.6875,1.0,0.0005937500000000006
82,0.71875,1.0,0.0008750000000000006
83,0.71875,1.0,0.0011562500000000006
84,0.71875,0.0,0.0004375000000000006
85,0.71875,1.0,0.0007187500000000006
86,0.71875,1.0,0.0010000000000000007
87,0.71875,1.0,0.0012812500000000007
88,0.71875,1.0,0.0015625000000000007
89,0.75,1.0,0.0018125000000000007
90,0.75,1.0,0.002062500000000001
91,0.75,1.0,0.002312500000000001
92,0.75,1.0,0.0025625000000000014
93,0.75,1.0,0.0028125000000000016
94,0.75,1.0,0.003062500000000002
95,0.75,1.0,0.003312500000000002
96,0.75,0.0,0.0025625000000000023
97,0.75,1.0,0.0028125000000000025
98,0.75,1.0,0.0030625000000000027
99,0.78125,1.0,0.003281250000000003
100,0.78125,1.0,0.003500000000000003
101,0.78125,1.0,0.0037187500000000033
102,0.78125,1.0,0.0039375000000000035
103,0.78125,0.0,0.0031562500000000037
104,0.78125,1.0,0.003375000000000004
105,0.78125,1.0,0.003593750000000004
106,0.78125,1.0,0.0038125000000000043
107,0.78125,1.0,0.0040312500000000044
108,0.78125,1.0,0.004250000000000005
109,0.78125,1.0,0.004468750000000005
110,0.78125,1.0,0.004687500000000005
111,0.78125,1.0,0.004906250000000005
112,0.78125,1.0,0.005125000000000005
113,0.78125,0.0,0.004343750000000006
114,0.8125,1.0,0.004531250000000006
115,0.8125,1.0,0.004718750000000006
116,0.8125,1.0,0.004906250000000006
117,0.8125,0.0,0.004093750000000006
118,0.8125,1.0,0.004281250000000006
119,0.8125,1.0,0.004468750000000007
120,0.8125,1.0,0.004656250000000007
121,0.8125,1.0,0.004843750000000007
122,0.8125,1.0,0.005031250000000007
123,0.8125,1.0,0.005218750000000007
124,0.8125,1.0,0.005406250000000007
125,0.8125,1.0,0.005593750000000008
126,0.8125,1.0,0.005781250000000008
127,0.8125,0.0,0.004968750000000008
128,0.8125,0.0,0.004156250000000008
129,0.8125,1.0,0.004343750000000008
130,0.8125,1.0,0.004531250000000008
131,0.8125,1.0,0.0047187500000000085
132,0.8125,0.0,0.003906250000000009
133,0.8125,1.0,0.004093750000000009
134,0.8125,0.0,0.003281250000000009
135,0.8125,1.0,0.003468750000000009
136,0.84375,1.0,0.0036250000000000093
137,0.84375,0.0,0.0027812500000000094
138,0.84375,1.0,0.0029375000000000095
139,0.84375,1.0,0.0030937500000000097
140,0.84375,0.0,0.00225000000000001
141,0.84375,1.0,0.00240625000000001
142,0.84375,1.0,0.00256250000000001
143,0.84375,1.0,0.0027187500000000102
144,0.84375,0.0,0.0018750000000000103
145,0.84375,0.0,0.0010312500000000105
146,0.84375,1.0,0.0011875000000000104
147,0.84375,1.0,0.0013437500000000103
148,0.84375,1.0,0.0015000000000000102
149,0.84375,1.0,0.0016562500000000101
150,0.84375,0.0,0.0008125000000000102
151,0.84375,1.0,0.0009687500000000102
152,0.84375,1.0,0.00112500000000001
153,0.84375,1.0,0.00128125000000001
154,0.84375,1.0,0.00143750000000001
155,0.84375,1.0,0.0015937500000000099
156,0.84375,1.0,0.0017500000000000098
157,0.84375,1.0,0.0019062500000000097
158,0.84375,1.0,0.0020625000000000096
159,0.84375,1.0,0.0022187500000000098
160,0.84375,1.0,0.00237500000000001
161,0.84375,1.0,0.00253125000000001
162,0.84375,1.0,0.00268750000000001
163,0.84375,1.0,0.0028437500000000103
164,0.84375,1.0,0.0030000000000000105
165,0.84375,1.0,0.0031562500000000106
166,0.84375,1.0,0.0033125000000000107
167,0.84375,1.0,0.003468750000000011
168,0.84375,1.0,0.003625000000000011
169,0.84375,1.0,0.003781250000000011
170,0.84375,1.0,0.003937500000000011
171,0.84375,1.0,0.0040937500000000114
172,0.84375,1.0,0.004250000000000012
173,0.84375,1.0,0.004406250000000012
174,0.84375,1.0,0.004562500000000012
175,0.84375,0.0,0.003718750000000012
176,0.84375,1.0,0.003875000000000012
177,0.875,1.0,0.004000000000000012
178,0.875,1.0,0.004125000000000012
179,0.875,1.0,0.0042500000000000124
180,0.875,1.0,0.0043750000000000126
181,0.875,1.0,0.004500000000000013
