rank,p_sorted,y_sorted,cumulative
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,1.0,0.001
7,0.0,0.0,0.001
8,0.0,0.0,0.001
9,0.0,0.0,0.001
10,0.0,0.0,0.001
11,0.0,1.0,0.002
12,0.0,0.0,0.002
13,0.0,0.0,0.002
14,0.0,0.0,0.002
15,0.0,0.0,0.002
16,0.0,0.0,0.002
17,0.0,0.0,0.002
18,0.03125,0.0,0.00196875
19,0.03125,0.0,0.0019375
20,0.03125,0.0,0.00190625
21,0.03125,0.0,0.001875
22,0.03125,0.0,0.00184375
23,0.03125,0.0,0.0018124999999999999
24,0.03125,0.0,0.0017812499999999998
25,0.03125,0.0,0.0017499999999999998
26,0.03125,0.0,0.0017187499999999998
27,0.03125,0.0,0.0016874999999999998
28,0.03125,0.0,0.0016562499999999997
29,0.03125,0.0,0.0016249999999999997
30,0.0625,0.0,0.0015624999999999997
31,0.0625,0.0,0.0014999999999999996
32,0.0625,0.0,0.0014374999999999995
33,0.0625,0.0,0.0013749999999999995
34,0.0625,0.0,0.0013124999999999994
35,0.0625,0.0,0.0012499999999999994
36,0.0625,0.0,0.0011874999999999993
37,0.0625,0.0,0.0011249999999999993
38,0.0625,0.0,0.0010624999999999992
39,0.0625,0.0,0.0009999999999999992
40,0.0625,1.0,0.0019374999999999991
41,0.0625,0.0,0.001874999999999999
42,0.0625,0.0,0.001812499999999999
43,0.09375,0.0,0.001718749999999999
44,0.09375,0.0,0.0016249999999999988
45,0.09375,0.0,0.0015312499999999988
46,0.09375,0.0,0.0014374999999999987
47,0.09375,1.0,0.0023437499999999986
48,0.09375,0.0,0.0022499999999999985
49,0.09375,0.0,0.0021562499999999984
50,0.09375,0.0,0.0020624999999999984
51,0.09375,0.0,0.0019687499999999983
52,0.09375,0.0,0.0018749999999999982
53,0.09375,0.0,0.0017812499999999981
54,0.125,1.0,0.002656249999999998
55,0.125,0.0,0.002531249999999998
56,0.125,0.0,0.002406249999999998
57,0.125,0.0,0.0022812499999999977
58,0.125,0.0,0.0021562499999999976
59,0.125,0.0,0.0020312499999999975
60,0.125,1.0,0.0029062499999999974
61,0.125,0.0,0.0027812499999999973
62,0.125,1.0,0.003656249999999997
63,0.15625,0.0,0.003499999999999997
64,0.15625,0.0,0.003343749999999997
65,0.15625,0.0,0.0031874999999999968
66,0.1875,0.0,0.0029999999999999966
67,0.1875,0.0,0.0028124999999999964
68,0.1875,0.0,0.0026249999999999963
69,0.1875,0.0,0.002437499999999996
70,0.1875,0.0,0.002249999999999996
71,0.1875,0.0,0.0020624999999999958
72,0.1875,0.0,0.0018749999999999958
73,0.1875,0.0,0.0016874999999999959
74,0.1875,0.0,0.001499999999999996
75,0.1875,0.0,0.001312499999999996
76,0.1875,0.0,0.001124999999999996
77,0.21875,0.0,0.000906249999999996
78,0.21875,0.0,0.0006874999999999961
79,0.21875,0.0,0.0004687499999999961
80,0.21875,0.0,0.0002499999999999961
81,0.21875,0.0,3.12499999999961e-05
82,0.21875,0.0,-0.0001875000000000039
83,0.25,1.0,0.0005624999999999962
84,0.25,0.0,0.00031249999999999616
85,0.25,0.0,6.249999999999615e-05
86,0.25,0.0,-0.00018750000000000385
87,0.25,0.0,-0.00043750000000000386
88,0.28125,0.0,-0.0007187500000000039
89,0.28125,1.0,-3.903127820947816e-18
90,0.28125,0.0,-0.0002812500000000039
91,0.28125,1.0,0.0004374999999999961
92,0.28125,0.0,0.00015624999999999613
93,0.28125,0.0,-0.00012500000000000385
94,0.3125,1.0,0.0005624999999999962
95,0.3125,0.0,0.00024999999999999616
96,0.3125,0.0,-6.250000000000385e-05
97,0.34375,0.0,-0.00040625000000000383
98,0.34375,0.0,-0.0007500000000000038
99,0.34375,1.0,-9.375000000000377e-05
100,0.34375,0.0,-0.00043750000000000375
101,0.34375,0.0,-0.0007812500000000037
102,0.375,1.0,-0.00015625000000000372
103,0.375,0.0,-0.0005312500000000037
104,0.375,0.0,-0.0009062500000000037
105,0.375,1.0,-0.0002812500000000037
106,0.375,1.0,0.0003437499999999963
107,0.375,0.0,-3.1250000000003714e-05
108,0.375,0.0,-0.0004062500000000037
109,0.375,0.0,-0.0007812500000000037
110,0.375,0.0,-0.0011562500000000036
111,0.40625,0.0,-0.0015625000000000036
112,0.40625,1.0,-0.0009687500000000036
113,0.40625,1.0,-0.0003750000000000036
114,0.40625,0.0,-0.0007812500000000035
115,0.40625,0.0,-0.0011875000000000034
116,0.40625,1.0,-0.0005937500000000035
117,0.40625,0.0,-0.0010000000000000035
118,0.40625,0.0,-0.0014062500000000034
119,0.4375,1.0,-0.0008437500000000035
120,0.4375,1.0,-0.0002812500000000035
121,0.4375,1.0,0.00028124999999999646
122,0.46875,1.0,0.0008124999999999965
123,0.46875,0.0,0.0003437499999999965
124,0.46875,0.0,-0.00012500000000000347
125,0.46875,0.0,-0.0005937500000000035
126,0.46875,1.0,-6.250000000000342e-05
127,0.46875,1.0,0.0004687499999999966
128,0.46875,1.0,0.0009999999999999966
129,0.46875,0.0,0.0005312499999999966
130,0.5,0.0,3.124999999999656e-05
131,0.5,1.0,0.0005312499999999966
132,0.5,0.0,3.124999999999656e-05
133,0.5,0.0,-0.00046875000000000345
134,0.5,1.0,3.124999999999656e-05
135,0.5,1.0,0.0005312499999999966
136,0.5,0.0,3.124999999999656e-05
137,0.5,1.0,0.0005312499999999966
138,0.5,1.0,0.0010312499999999966
139,0.5,1.0,0.0015312499999999966
140,0.53125,1.0,0.0019999999999999966
141,0.53125,0.0,0.0014687499999999965
142,0.53125,1.0,0.0019374999999999965
143,0.53125,0.0,0.0014062499999999965
144,0.53125,0.0,0.0008749999999999964
