bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.1,0,,,
1,0.1,0.2,2,0.171875,0.0,0.171875
2,0.2,0.30000000000000004,1,0.21875,0.0,0.21875
3,0.30000000000000004,0.4,3,0.34375,0.3333333333333333,0.010416666666666685
4,0.4,0.5,6,0.4270833333333333,0.6666666666666666,0.23958333333333331
5,0.5,0.6000000000000001,11,0.5625,0.7272727272727273,0.1647727272727273
6,0.6000000000000001,0.7000000000000001,6,0.65625,0.5,0.15625
7,0.7000000000000001,0.8,12,0.75,0.8333333333333334,0.08333333333333337
8,0.8,0.9,62,0.8487903225806451,0.9032258064516129,0.05443548387096775
9,0.9,1.0,897,0.978713768115942,0.9765886287625418,0.002125139353400196
