rank,p_sorted,y_sorted,cumulative
0,0.15625,0.0,-0.00015625
1,0.1875,0.0,-0.00034375
2,0.21875,0.0,-0.0005625
3,0.3125,1.0,0.000125
4,0.34375,0.0,-0.00021874999999999998
5,0.375,0.0,-0.00059375
6,0.40625,1.0,0.0
7,0.40625,0.0,-0.00040625
8,0.40625,1.0,0.0001875
9,0.4375,1.0,0.00075
10,0.4375,0.0,0.0003125
11,0.46875,1.0,0.0008437500000000001
12,0.5,1.0,0.0013437500000000001
13,0.5,0.0,0.0008437500000000001
14,0.53125,1.0,0.0013125
15,0.5625,1.0,0.00175
16,0.5625,0.0,0.0011875000000000002
17,0.5625,1.0,0.0016250000000000001
18,0.59375,1.0,0.00203125
19,0.59375,1.0,0.0024375
20,0.59375,1.0,0.00284375
21,0.59375,0.0,0.00225
22,0.59375,1.0,0.0026562499999999998
23,0.625,1.0,0.0030312499999999997
24,0.625,1.0,0.0034062499999999996
25,0.625,1.0,0.0037812499999999995
26,0.6875,0.0,0.0030937499999999993
27,0.6875,0.0,0.0024062499999999995
28,0.6875,0.0,0.0017187499999999996
29,0.71875,1.0,0.0019999999999999996
30,0.71875,1.0,0.0022812499999999994
31,0.71875,1.0,0.0025624999999999992
32,0.71875,0.0,0.0018437499999999993
33,0.71875,1.0,0.0021249999999999993
34,0.75,1.0,0.0023749999999999995
35,0.75,0.0,0.0016249999999999995
36,0.78125,1.0,0.0018437499999999995
37,0.78125,1.0,0.0020624999999999997
38,0.78125,1.0,0.00228125
39,0.78125,1.0,0.0025
40,0.78125,1.0,0.0027187500000000002
41,0.8125,0.0,0.0019062500000000004
42,0.8125,1.0,0.0020937500000000006
43,0.8125,1.0,0.0022812500000000007
44,0.8125,1.0,0.002468750000000001
45,0.8125,1.0,0.002656250000000001
46,0.8125,1.0,0.0028437500000000012
47,0.8125,1.0,0.0030312500000000014
48,0.8125,1.0,0.0032187500000000016
49,0.8125,1.0,0.0034062500000000017
50,0.8125,1.0,0.003593750000000002
51,0.8125,1.0,0.003781250000000002
52,0.8125,1.0,0.003968750000000002
53,0.8125,0.0,0.003156250000000002
54,0.8125,1.0,0.003343750000000002
55,0.8125,1.0,0.0035312500000000023
56,0.8125,1.0,0.0037187500000000024
57,0.8125,1.0,0.003906250000000003
58,0.84375,1.0,0.004062500000000003
59,0.84375,1.0,0.004218750000000003
60,0.84375,1.0,0.004375000000000003
61,0.84375,0.0,0.003531250000000003
62,0.84375,1.0,0.0036875000000000033
63,0.84375,1.0,0.0038437500000000034
64,0.84375,1.0,0.0040000000000000036
65,0.84375,1.0,0.004156250000000004
66,0.84375,1.0,0.004312500000000004
67,0.84375,1.0,0.004468750000000004
68,0.84375,1.0,0.004625000000000004
69,0.84375,1.0,0.004781250000000004
70,0.84375,1.0,0.004937500000000004
71,0.84375,1.0,0.0050937500000000045
72,0.84375,1.0,0.005250000000000005
73,0.84375,1.0,0.005406250000000005
74,0.84375,1.0,0.005562500000000005
75,0.84375,1.0,0.005718750000000005
76,0.875,1.0,0.005843750000000005
77,0.875,1.0,0.005968750000000005
78,0.875,1.0,0.006093750000000005
79,0.875,1.0,0.0062187500000000055
80,0.875,1.0,0.006343750000000006
81,0.875,1.0,0.006468750000000006
82,0.875,0.0,0.005593750000000006
83,0.875,1.0,0.005718750000000006
84,0.875,1.0,0.005843750000000006
85,0.875,0.0,0.004968750000000006
86,0.875,1.0,0.005093750000000006
87,0.875,1.0,0.005218750000000006
88,0.875,1.0,0.0053437500000000065
89,0.875,1.0,0.005468750000000007
90,0.875,1.0,0.005593750000000007
91,0.875,1.0,0.005718750000000007
92,0.875,1.0,0.005843750000000007
93,0.875,1.0,0.005968750000000007
94,0.875,1.0,0.006093750000000007
95,0.875,0.0,0.005218750000000007
96,0.875,1.0,0.005343750000000007
97,0.875,1.0,0.0054687500000000075
98,0.875,1.0,0.005593750000000008
99,0.875,1.0,0.005718750000000008
100,0.875,1.0,0.005843750000000008
101,0.875,1.0,0.005968750000000008
102,0.875,1.0,0.006093750000000008
103,0.90625,1.0,0.006187500000000008
104,0.90625,1.0,0.006281250000000008
105,0.90625,1.0,0.006375000000000008
106,0.90625,1.0,0.006468750000000008
107,0.90625,1.0,0.006562500000000008
108,0.90625,1.0,0.0066562500000000085
109,0.90625,1.0,0.006750000000000009
110,0.90625,1.0,0.006843750000000009
111,0.90625,1.0,0.006937500000000009
112,0.90625,1.0,0.007031250000000009
113,0.90625,1.0,0.007125000000000009
114,0.90625,1.0,0.007218750000000009
115,0.90625,0.0,0.006312500000000009
116,0.90625,1.0,0.006406250000000009
117,0.90625,1.0,0.006500000000000009
118,0.90625,1.0,0.006593750000000009
119,0.90625,1.0,0.006687500000000009
120,0.90625,1.0,0.0067812500000000095
121,0.90625,1.0,0.00687500000000001
122,0.90625,1.0,0.00696875000000001
123,0.90625,1.0,0.00706250000000001
124,0.90625,1.0,0.00715625000000001
125,0.90625,1.0,0.00725000000000001
126,0.90625,1.0,0.00734375000000001
127,0.90625,1.0,0.00743750000000001
128,0.90625,1.0,0.00753125000000001
129,0.90625,1.0,0.00762500000000001
130,0.90625,1.0,0.00771875000000001
131,0.90625,1.0,0.00781250000000001
132,0.90625,1.0,0.00790625000000001
133,0.90625,1.0,0.00800000000000001
134,0.90625,1.0,0.00809375000000001
135,0.90625,1.0,0.00818750000000001
136,0.90625,1.0,0.00828125000000001
137,0.90625,1.0,0.008375000000000011
138,0.90625,1.0,0.008468750000000011
139,0.90625,1.0,0.008562500000000011
140,0.90625,1.0,0.008656250000000011
141,0.90625,0.0,0.007750000000000011
142,0.90625,1.0,0.00784375000000001
143,0.9375,1.0,0.00790625000000001
144,0.9375,1.0,0.00796875000000001
145,0.9375,1.0,0.00803125000000001
146,0.9375,1.0,0.00809375000000001
147,0.9375,1.0,0.00815625000000001
148,0.9375,1.0,0.00821875000000001
149,0.9375,1.0,0.00828125000000001
150,0.9375,1.0,0.008343750000000011
151,0.9375,1.0,0.008406250000000011
152,0.9375,1.0,0.008468750000000011
153,0.9375,1.0,0.008531250000000011
154,0.9375,1.0,0.008593750000000011
155,0.9375,1.0,0.008656250000000011
156,0.9375,1.0,0.008718750000000011
157,0.9375,1.0,0.008781250000000011
158,0.9375,1.0,0.008843750000000011
159,0.9375,1.0,0.008906250000000011
160,0.9375,0.0,0.00796875000000001
161,0.9375,1.0,0.00803125000000001
162,0.9375,1.0,0.00809375000000001
163,0.9375,1.0,0.00815625000000001
164,0.9375,1.0,0.00821875000000001
165,0.9375,1.0,0.00828125000000001
166,0.9375,1.0,0.008343750000000011
167,0.9375,1.0,0.008406250000000011
168,0.9375,1.0,0.008468750000000011
169,0.9375,1.0,0.008531250000000011
170,0.9375,1.0,0.008593750000000011
171,0.9375,1.0,0.008656250000000011
172,0.9375,1.0,0.008718750000000011
173,0.9375,1.0,0.008781250000000011
174,0.9375,1.0,0.008843750000000011
175,0.9375,1.0,0.008906250000000011
176,0.9375,1.0,0.008968750000000011
177,0.9375,0.0,0.00803125000000001
178,0.9375,1.0,0.00809375000000001
179,0.9375,1.0,0.00815625000000001
180,0.9375,1.0,0.00821875000000001
181,0.9375,1.0,0.00828125000000001
182,0.9375,1.0,0.008343750000000011
183,0.9375,1.0,0.008406250000000011
184,0.9375,1.0,0.008468750000000011
185,0.9375,1.0,0.008531250000000011
186,0.9375,1.0,0.008593750000000011
187,0.9375,1.0,0.008656250000000011
188,0.9375,1.0,0.008718750000000011
189,0.9375,1.0,0.008781250000000011
190,0.9375,1.0,0.008843750000000011
191,0.9375,1.0,0.008906250000000011
192,0.9375,1.0,0.008968750000000011
193,0.9375,1.0,0.009031250000000011
194,0.9375,0.0,0.00809375000000001
195,0.9375,1.0,0.00815625000000001
196,0.9375,1.0,0.00821875000000001
197,0.9375,1.0,0.00828125000000001
198,0.9375,1.0,0.008343750000000011
199,0.9375,1.0,0.008406250000000011
200,0.9375,1.0,0.008468750000000011
201,0.9375,1.0,0.008531250000000011
202,0.9375,1.0,0.008593750000000011
203,0.9375,1.0,0.008656250000000011
204,0.9375,1.0,0.008718750000000011
205,0.9375,1.0,0.008781250000000011
206,0.9375,1.0,0.008843750000000011
207,0.9375,1.0,0.008906250000000011
208,0.9375,1.0,0.008968750000000011
209,0.9375,1.0,0.009031250000000011
210,0.9375,1.0,0.009093750000000012
211,0.9375,0.0,0.00815625000000001
212,0.9375,1.0,0.00821875000000001
213,0.9375,1.0,0.00828125000000001
214,0.9375,1.0,0.008343750000000011
215,0.9375,1.0,0.008406250000000011
216,0.9375,1.0,0.008468750000000011
217,0.9375,1.0,0.008531250000000011
218,0.9375,1.0,0.008593750000000011
219,0.9375,1.0,0.008656250000000011
220,0.9375,1.0,0.008718750000000011
221,0.9375,1.0,0.008781250000000011
222,0.9375,1.0,0.008843750000000011
223,0.9375,1.0,0.008906250000000011
224,0.9375,1.0,0.008968750000000011
225,0.9375,1.0,0.009031250000000011
226,0.9375,1.0,0.009093750000000012
227,0.9375,1.0,0.009156250000000012
228,0.9375,1.0,0.009218750000000012
229,0.9375,1.0,0.009281250000000012
230,0.9375,1.0,0.009343750000000012
231,0.9375,1.0,0.009406250000000012
232,0.9375,1.0,0.009468750000000012
233,0.9375,1.0,0.009531250000000012
234,0.9375,1.0,0.009593750000000012
235,0.9375,1.0,0.009656250000000012
236,0.9375,1.0,0.009718750000000012
237,0.9375,1.0,0.009781250000000012
238,0.9375,1.0,0.009843750000000012
239,0.9375,1.0,0.009906250000000012
240,0.9375,1.0,0.009968750000000012
241,0.9375,1.0,0.010031250000000012
242,0.9375,1.0,0.010093750000000012
243,0.9375,1.0,0.010156250000000012
244,0.9375,1.0,0.010218750000000013
245,0.9375,1.0,0.010281250000000013
246,0.9375,1.0,0.010343750000000013
247,0.9375,1.0,0.010406250000000013
248,0.9375,1.0,0.010468750000000013
249,0.9375,1.0,0.010531250000000013
250,0.9375,1.0,0.010593750000000013
251,0.9375,1.0,0.010656250000000013
252,0.9375,1.0,0.010718750000000013
253,0.9375,1.0,0.010781250000000013
254,0.9375,1.0,0.010843750000000013
255,0.96875,1.0,0.010875000000000013
256,0.96875,1.0,0.010906250000000013
257,0.96875,1.0,0.010937500000000013
258,0.96875,1.0,0.010968750000000013
259,0.96875,1.0,0.011000000000000013
260,0.96875,1.0,0.011031250000000013
261,0.96875,1.0,0.011062500000000013
262,0.96875,1.0,0.011093750000000013
263,0.96875,1.0,0.011125000000000013
264,0.96875,1.0,0.011156250000000013
265,0.96875,1.0,0.011187500000000013
266,0.96875,1.0,0.011218750000000013
267,0.96875,1.0,0.011250000000000013
268,0.96875,1.0,0.011281250000000013
269,0.96875,1.0,0.011312500000000014
270,0.96875,1.0,0.011343750000000014
271,0.96875,0.0,0.010375000000000013
272,0.96875,1.0,0.010406250000000013
273,0.96875,1.0,0.010437500000000013
274,0.96875,1.0,0.010468750000000013
275,0.96875,1.0,0.010500000000000013
276,0.96875,1.0,0.010531250000000013
277,0.96875,1.0,0.010562500000000013
278,0.96875,1.0,0.010593750000000013
279,0.96875,1.0,0.010625000000000013
280,0.96875,1.0,0.010656250000000013
281,0.96875,1.0,0.010687500000000013
282,0.96875,0.0,0.009718750000000012
283,0.96875,1.0,0.009750000000000012
284,0.96875,1.0,0.009781250000000012
285,0.96875,1.0,0.009812500000000012
286,0.96875,1.0,0.009843750000000012
287,0.96875,1.0,0.009875000000000012
288,0.96875,1.0,0.009906250000000012
289,0.96875,1.0,0.009937500000000012
290,0.96875,1.0,0.009968750000000012
291,0.96875,1.0,0.010000000000000012
292,0.96875,1.0,0.010031250000000012
293,0.96875,1.0,0.010062500000000012
294,0.96875,1.0,0.010093750000000012
295,0.96875,1.0,0.010125000000000012
296,0.96875,1.0,0.010156250000000012
297,0.96875,1.0,0.010187500000000013
298,0.96875,1.0,0.010218750000000013
299,0.96875,1.0,0.010250000000000013
300,0.96875,1.0,0.010281250000000013
301,0.96875,1.0,0.010312500000000013
302,0.96875,1.0,0.010343750000000013
303,0.96875,1.0,0.010375000000000013
304,0.96875,1.0,0.010406250000000013
305,0.96875,1.0,0.010437500000000013
306,0.96875,1.0,0.010468750000000013
307,0.96875,1.0,0.010500000000000013
308,0.96875,1.0,0.010531250000000013
309,0.96875,1.0,0.010562500000000013
310,0.96875,1.0,0.010593750000000013
311,0.96875,1.0,0.010625000000000013
312,0.96875,1.0,0.010656250000000013
313,0.96875,1.0,0.010687500000000013
314,0.96875,1.0,0.010718750000000013
315,0.96875,0.0,0.009750000000000012
316,0.96875,1.0,0.009781250000000012
317,0.96875,1.0,0.009812500000000012
318,0.96875,1.0,0.009843750000000012
319,0.96875,1.0,0.009875000000000012
320,0.96875,1.0,0.009906250000000012
321,0.96875,1.0,0.009937500000000012
322,0.96875,1.0,0.009968750000000012
323,0.96875,1.0,0.010000000000000012
324,0.96875,1.0,0.010031250000000012
325,0.96875,1.0,0.010062500000000012
326,0.96875,1.0,0.010093750000000012
327,0.96875,1.0,0.010125000000000012
328,0.96875,1.0,0.010156250000000012
329,0.96875,1.0,0.010187500000000013
330,0.96875,1.0,0.010218750000000013
331,0.96875,1.0,0.010250000000000013
332,0.96875,1.0,0.010281250000000013
333,0.96875,1.0,0.010312500000000013
334,0.96875,1.0,0.010343750000000013
335,0.96875,1.0,0.010375000000000013
336,0.96875,1.0,0.010406250000000013
337,0.96875,1.0,0.010437500000000013
338,0.96875,1.0,0.010468750000000013
339,0.96875,1.0,0.010500000000000013
340,0.96875,1.0,0.010531250000000013
341,0.96875,1.0,0.010562500000000013
342,0.96875,1.0,0.010593750000000013
343,0.96875,1.0,0.010625000000000013
344,0.96875,1.0,0.010656250000000013
345,0.96875,1.0,0.010687500000000013
346,0.96875,1.0,0.010718750000000013
347,0.96875,1.0,0.010750000000000013
348,0.96875,1.0,0.010781250000000013
349,0.96875,1.0,0.010812500000000013
350,0.96875,1.0,0.010843750000000013
351,0.96875,1.0,0.010875000000000013
352,0.96875,1.0,0.010906250000000013
353,0.96875,1.0,0.010937500000000013
354,0.96875,0.0,0.009968750000000012
355,0.96875,1.0,0.010000000000000012
356,0.96875,1.0,0.010031250000000012
357,0.96875,1.0,0.010062500000000012
358,0.96875,1.0,0.010093750000000012
359,0.96875,1.0,0.010125000000000012
360,0.96875,1.0,0.010156250000000012
361,0.96875,1.0,0.010187500000000013
362,0.96875,1.0,0.010218750000000013
363,0.96875,1.0,0.010250000000000013
364,0.96875,1.0,0.010281250000000013
365,0.96875,1.0,0.010312500000000013
366,0.96875,1.0,0.010343750000000013
367,0.96875,1.0,0.010375000000000013
368,0.96875,1.0,0.010406250000000013
369,0.96875,1.0,0.010437500000000013
370,0.96875,1.0,0.010468750000000013
371,0.96875,1.0,0.010500000000000013
