bin_id,bin_lower,bin_upper,count,mean_p,empirical_freq,abs_gap
0,0.0,0.03125,68,0.0,0.014705882352941176,0.014705882352941176
1,0.03125,0.21875,118,0.09348516949152542,0.0847457627118644,0.008739406779661021
2,0.21875,0.375,101,0.28589108910891087,0.38613861386138615,0.10024752475247528
3,0.375,0.46875,111,0.40878378378378377,0.5405405405405406,0.1317567567567568
4,0.46875,0.53125,96,0.4837239583333333,0.6458333333333334,0.16210937500000006
5,0.53125,0.5625,56,0.53125,0.8035714285714286,0.2723214285714286
6,0.5625,0.625,126,0.5803571428571429,0.7698412698412699,0.18948412698412698
7,0.625,0.65625,68,0.625,0.7941176470588235,0.16911764705882348
8,0.65625,0.75,140,0.6828125,0.9,0.21718749999999998
9,0.75,1.0,116,0.8054956896551724,0.8793103448275862,0.07381465517241381
