sample_index,flight_id,p_hat,y_true,d_truth_to_center_m,mean_sample_to_center_m,bin_id_equal_width,bin_id_equal_count
23218,24/08/19_TVS6N7_5532,1.0,1.0,126.90177917480469,118.48644256591797,9,5
20731,24/05/20_JAF745_2134,0.96875,1.0,15.508062362670898,199.42388916015625,9,5
39555,24/08/16_VLG5WE_575,0.71875,1.0,329.8102722167969,455.664794921875,7,0
147506,24/06/24_NJE384F_5686,0.96875,1.0,51.60002517700195,148.64541625976562,9,5
314215,24/12/17_EZY45DM_2143,0.9375,1.0,103.32745361328125,178.5701904296875,9,4
190913,24/04/29_TAP557H_4835,0.96875,1.0,13.937920570373535,116.87239074707031,9,5
296715,24/11/21_DFRRR_1685,0.75,1.0,118.25456237792969,275.5160217285156,7,0
141482,24/10/24_DLH95T_2178,1.0,1.0,30.557579040527344,69.09226989746094,9,5
49119,24/06/06_VLG45FT_617,0.90625,1.0,69.3000717163086,182.68600463867188,9,3
208005,24/06/08_GAC265E_3818,0.78125,1.0,220.15463256835938,403.716064453125,7,1
357337,24/07/24_AUA47B_4564,0.875,1.0,42.75018310546875,200.112060546875,8,2
391118,24/07/28_N155RW_8801,0.96875,1.0,70.24210357666016,143.77685546875,9,5
358922,24/02/17_RYR5477_5599,1.0,1.0,6.72681188583374,99.38679504394531,9,5
114136,24/09/10_EJU71TQ_4027,0.90625,0.0,510.3612976074219,236.17247009277344,9,3
65706,24/01/30_DLH1843_1459,0.9375,1.0,131.45704650878906,276.04852294921875,9,4
363838,24/02/16_ITL201_198,1.0,1.0,20.676450729370117,62.911109924316406,9,5
28871,24/06/09_EZY47CV_3099,0.875,1.0,64.86825561523438,396.5137939453125,8,2
224830,24/05/25_CTN52R_7720,0.96875,1.0,41.10523986816406,96.97030639648438,9,5
99085,24/03/30_ITY149_4983,0.9375,1.0,351.5640869140625,172.518798828125,9,4
257076,24/08/29_BAW53YR_3638,1.0,1.0,22.530881881713867,101.03195190429688,9,5
226523,24/05/13_VLG69UM_8874,1.0,1.0,161.27944946289062,85.34581756591797,9,5
