sample_index,flight_id,p_hat,y_true,d_truth_to_center_m,mean_sample_to_center_m,bin_id_equal_width,bin_id_equal_count
158364,24/05/27_EWG2AN_8461,0.5,1.0,34.15589141845703,133.6827850341797,5,4
183142,24/05/05_AFR75SG_1158,0.71875,0.0,159.43283081054688,80.18180847167969,7,8
318989,24/05/09_LXZAP_7428,0.0625,0.0,467.2496643066406,270.0688781738281,0,1
135181,24/08/16_WZZ9DC_4983,0.65625,1.0,75.95804595947266,83.89601135253906,6,8
320825,24/09/23_TVS2050_5213,0.59375,1.0,21.16158103942871,116.4710464477539,5,6
354159,24/08/19_DLH9HH_2174,0.09375,0.0,276.623046875,497.295166015625,0,1
6552,24/07/24_N343AP_10231,0.0,0.0,491.60986328125,756.65087890625,0,0
71272,24/06/18_SAS33D_7921,0.6875,1.0,36.70256423950195,88.7045669555664,6,8
388717,24/08/13_EWG97XH_1725,0.875,1.0,34.6500358581543,64.91358184814453,8,9
194519,24/09/18_EWG70PT_8793,0.0,0.0,167.0078582763672,329.20343017578125,0,0
363144,24/09/05_WMT8465_4695,0.84375,1.0,16.068700790405273,60.408119201660156,8,9
52045,24/05/09_OCN6LM_1979,0.625,1.0,25.179357528686523,91.27607727050781,6,7
291003,24/10/18_DLH44M_11128,0.78125,1.0,37.48353958129883,92.46745300292969,7,9
196673,24/09/21_RYR2WA_8543,0.6875,1.0,53.07836151123047,143.90139770507812,6,8
350916,24/09/18_SRN6933_5294,0.0,0.0,235.02194213867188,637.7724609375,0,0
144445,24/09/05_EWG6GR_8913,0.03125,0.0,585.6588134765625,566.3759155273438,0,1
378958,24/07/24_N622JD_10278,0.40625,1.0,86.3658676147461,165.75552368164062,4,3
331796,24/10/31_WZZ106F_3347,0.6875,1.0,98.50515747070312,118.09523010253906,6,8
344139,24/06/18_DIBSL_3014,0.125,0.0,129.38104248046875,223.49307250976562,1,1
228787,24/07/29_TVF855A_1579,0.0625,0.0,680.9130249023438,558.1738891601562,0,1
330487,24/05/08_AFR648_934,0.5625,1.0,34.20640563964844,102.63371276855469,5,6
117356,24/05/10_CTN495_8038,0.59375,1.0,63.17287826538086,99.27151489257812,5,6
320914,24/02/14_RYR5SQ_5070,0.5,0.0,257.31011962890625,133.0830841064453,5,4
211066,24/10/18_BCS6GA_2152,0.0,0.0,321.09783935546875,518.5291137695312,0,0
397557,24/09/10_EZS1281_6250,0.40625,0.0,162.19451904296875,170.75772094726562,4,3
46151,24/06/24_FHGET_1473,0.375,0.0,143.3369140625,133.092529296875,3,3
67168,24/05/05_EZY53ZE_2858,0.6875,1.0,21.11020278930664,118.95203399658203,6,8
378010,24/09/30_SXS72R_7052,0.25,0.0,131.3723907470703,276.918701171875,2,2
12603,24/05/08_DLH16V_1865,0.09375,1.0,98.28060913085938,212.94972229003906,0,1
210172,24/05/25_AFR14SM_1328,0.125,0.0,122.19049072265625,278.84124755859375,1,1
64151,24/12/11_VLG84PM_606,0.5625,1.0,18.229869842529297,141.37271118164062,5,6
242056,24/05/09_TAP553R_5098,0.59375,1.0,51.31093978881836,105.46199035644531,5,6
260702,24/08/30_RYR4CM_8992,0.625,1.0,22.13064956665039,101.4867172241211,6,7
291661,24/09/13_AFR53VN_1059,0.09375,1.0,70.3691177368164,416.04461669921875,0,1
276806,24/02/16_NJE2PY_3511,0.40625,1.0,79.01423645019531,183.16131591796875,4,3
237499,24/09/05_BAW845_3204,0.65625,1.0,72.33688354492188,81.54620361328125,6,8
179805,24/10/16_KLM65D_4395,0.4375,0.0,244.08157348632812,168.9228515625,4,3
273251,24/02/17_DLH1317_1496,0.875,0.0,1025.31591796875,56.27219772338867,8,9
53888,24/09/18_THY1DU_6948,0.0,0.0,2760.01708984375,1014.6861572265625,0,0
325377,24/12/20_ETD3RH_7928,0.375,0.0,428.07318115234375,149.7393341064453,3,3
262221,24/05/13_RYR27MG_7789,0.4375,1.0,72.82384490966797,106.9530029296875,4,3
115944,24/05/25_N878SC_8334,0.25,1.0,29.465286254882812,172.25628662109375,2,2
310086,24/05/13_EZY47CV_3005,0.75,1.0,49.36740493774414,174.30706787109375,7,9
32236,24/10/16_TUI2EJ_1576,0.46875,0.0,318.6621398925781,143.31094360351562,4,4
101167,24/05/23_RYR3454_7721,0.65625,1.0,64.856689453125,156.93075561523438,6,8
75220,24/05/25_ANE2402_523,0.75,1.0,24.946504592895508,91.57353210449219,7,9
